,type,subtype,ts,user,text,inviter,channel,is_system_message,client_msg_id,team,pinned_to,pinned_info,old_name,name,with_attachments,upload,display_as_bot,thread_ts,reply_count,reply_users_count,latest_reply,reply_users,subscribed,with_files,reactions,topic,edited,hidden,root,purpose,username,bot_id,icons
2469,message,group_leave,1584022656.0359,USUNKE6R4,a962ed16de17530a7c42c51b34484c0adc7e746ae7bb1d4c94ae691f6f974ae1,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2470,message,group_leave,1584020252.0357,USSFJJH4M,ac25b3a95282824a72963ce1256a1708771ff8a8fea38670e845fcc15e8ab748,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2471,message,group_leave,1584017255.0355,USF2R63C3,ed87be2a9844d8c8d87c51af79777c53952d07a1dfd0bd252152e93131b8a5d3,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2472,message,group_leave,1584004407.0352,USUC94B63,679f975e10a2b91a18e66b2a1399475667f3e80184f3f6d63cf6ee4c1b1fe1d6,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2473,message,group_leave,1584004326.035,USJ51D18B,476a93fbd12a1e1c584f2ffbc9181d437cb96e6839d0aa19b1b977f2220806dd,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2474,message,group_leave,1583861669.0345,USDNUBAGJ,4201e1c7e9e82751b67917773493f640046bd9e921aff1df0a822300319625dc,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2475,message,,1583786950.0302,UTD2737GU,27d1f13b3e4c13110f9a104bf30d506fad7d7e1544e8dd4f603afc4c752c5b16,,GSR9LR79B,False,874bff1b-aea3-44ea-a279-226f93e6b71a,,,,,,,1.0,0.0,1583786950.0302,4.0,3.0,1583856056.0329,"['USWMKAJHW', 'USGAKKEBB', 'UTD2737GU']",0.0,1.0,,,,,,,,,
2476,message,,1583384242.0273,USF4GBW59,a4b0e3f2fb9270a470d0b388254923cde151e9bbca72e7cadaaff5777b59b122,,GSR9LR79B,False,c1fc207b-189c-4a16-996f-0ce596a45488,TPV9DP0N4,,,,,,,,1583384242.0273,1.0,1.0,1583429794.0292,['USSGE7U0Y'],0.0,,"[{'name': 'arrow_heading_up', 'users': ['USSGH4Y8Y'], 'count': 1}]",,,,,,,,
2477,message,,1583384216.0267,USF4GBW59,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,GSR9LR79B,False,2949f670-656b-447d-a514-82f7135d321d,,,,,,,1.0,0.0,1583384216.0267,2.0,2.0,1583395237.0286,"['USSGH4Y8Y', 'USF4GBW59']",0.0,1.0,,,,,,,,,
2478,message,group_leave,1582966846.0111,USDNX2XRQ,fd696fa083f1445f2777a2af906e49efe3a8c37851d243673a785d9e4ea23a56,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
