node,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
USQB3PP8R,-0.68008363,-0.011048418,0.14758964,-0.11758634,-0.9642438,-0.36442462,-0.46736047,-0.6245435,-1.103034,0.41365087,0.61584115,-1.0273021,-1.6279365,0.5244446,1.7623278000000002,0.29197794,0.16608743,0.20472905,1.1055158,1.6212,-0.23620757,0.29697758,0.35447690000000004,0.89415056,-1.2582323999999998,0.8481034,-0.42216509999999996,0.10754689,1.4470265,0.37875652,-1.2602481,-0.5574600000000001,1.2802409,0.77156615,-0.4810456,-0.045528985999999994,2.4162939999999997,1.8046494999999998,-0.7066551,0.31533557,0.32428090000000004,-0.59534085,-1.252673,0.3377812,0.05579527,0.020219436,-0.32589653,-1.2111348999999998,-0.5068741,0.04673513,0.11486099999999999,-0.25450823,0.04773692400000001,-0.03038879,-0.48457044,0.89039636,1.2749805,-0.56266934,-0.668813,-0.20354593,0.24645902,-1.0651726000000001,-0.26878783,1.0322332
USUNKHZUN,0.40078193,0.09387958,0.054212786,-0.5735744,0.4483495,-0.84476894,-0.29688400000000004,-1.0995578000000001,1.2519001,-0.21392020000000003,1.0680903999999998,-0.17700781,1.4327562,-0.18834409,-0.7059339,0.3144367,-0.7246233,0.038467094,-0.8747088,-0.2713197,-0.9350497999999999,-0.30673015,0.4675777,-0.84013414,0.14561589,0.13922146,0.9785671,-0.52442575,0.44655916,-0.28227594,-0.44694895,-0.22625221,0.085552305,1.2746761999999998,0.47762740000000004,1.32996,0.21560556,0.48444703,-0.8639109,0.32177058,-0.600193,-0.7360495,0.18288057,-0.013984508,-0.42588052,-0.83735925,1.0834215,0.40497532,0.43031099999999994,0.48927948,0.19581912,0.16939577,-0.03821789,-0.6197376,0.6695731,-1.5066692,-1.0407875,-0.0433973,-0.813341,-0.6741923000000001,-0.52797735,-0.26720876,-0.76251084,-0.26082289999999997
USSGPSV29,0.23849829,0.117573395,0.8194908999999999,0.8736502,-0.931465,-1.3011388000000002,-0.16972427,-0.3182124,-0.08884271,0.53925735,1.0016447,-0.37302992,-0.9300056000000001,-0.23038313,0.57131696,-0.114175424,-0.6544565,-0.6624721,-0.03318048,0.29336223,0.24829748,-0.33698958,-0.13208118,-0.93699735,1.1496648999999999,-0.5730991999999999,0.09229675,0.25294720000000004,-0.78362066,0.24813588,0.12132444,-0.11661698,-0.28415024,-1.0061296,-0.8702591999999999,0.18669492,0.11986877,0.56364745,0.30992759999999997,-0.46215472,-0.14232326,-0.33485436,-0.046153743,0.97591835,0.34682962,1.0628448,1.1160561000000002,-0.10805716,-0.016375557,0.8800323,0.5978143,0.07842293,-0.35203698,-0.21694665,0.8628435,0.026595246,0.29327503,-0.03868891,-1.1459671,0.7618369,0.64295286,0.34440956,0.081339374,0.08307335
U011EKVFRV3,-0.87653774,1.2157360000000001,-0.35105583,-0.86193,0.41704246,0.72158086,1.2889093,0.16367668,0.5668708,-0.7146524999999999,0.13244179,-0.09193219,-0.42614776,0.44296518,-0.3016123,0.7303211,-1.8284846999999997,-0.7674302,-0.1243027,-0.09066366,-1.2387743,-1.527261,0.16132879999999997,0.0027493021999999995,-0.20810251,0.16517867,-0.5328885,0.51612407,1.1962343,-1.0451181999999999,0.53603303,-0.46573457,0.21180482,-0.10017561,-0.21202104,-0.7437630000000001,0.41303137,-0.22748077,-0.6369984999999999,0.74900275,0.14950107,0.47684547,-0.44274938,1.0975475000000001,1.1662035,-0.13335751,-0.6452045,-1.6759322,1.9724358,-1.3480784,0.18666656,-0.17105438,0.5613111,0.172565,0.94375443,-0.41738279999999994,-0.0008992267,-0.13632886,-0.1264932,-2.4161509999999997,0.73352945,-0.519225,1.3735760000000001,-0.5825123000000001
USUNC5F2A,1.2767568,-0.16725256,0.26697612,-0.59331423,-0.35512632,-1.258294,-0.3194368,-0.5982546,-0.048339613,-0.10788943599999999,1.3069786,-1.2254989,0.03172356,1.1737761,-0.079289965,-0.12034158,-1.3073398,0.18823723,0.8654947000000001,0.25465268,0.21798651,-0.6556287,-0.41965866,0.6673876999999999,1.7030349999999999,0.27356842,0.4062909,-0.75884366,-0.31081674,-0.8929159,0.9648940999999999,-1.0848559,-0.01506671,-0.98882794,-0.053464327,0.25488320000000003,-0.8690356,-0.30177274,-0.0133523615,1.0728843000000001,-0.88848495,0.11286692,0.1323903,-0.73053324,-0.40735757,0.2816734,0.9548338,-0.88050073,0.08025325,-0.43650344,0.5865425999999999,0.46291575,0.22255713,-1.3095733,0.025541974,0.49527043,0.6058778,-0.7098648,-0.9623195999999999,0.9972319,0.50309813,0.64085037,-1.1547457,0.69993997
USSGH31FA,0.0043001216999999994,0.30597216,-0.35240066,0.52158815,0.2661949,-0.18431874,0.23141558,-1.2962133,0.5124877,-0.8687872999999999,0.5181422,0.39484197,0.22444263,-0.09880634,-0.39778408,-0.026721632000000002,-0.020194683,0.42472926,-0.09103457,0.7040706999999999,0.13030814,-1.2155066,0.11220468,0.72608405,-1.2366110000000001,0.29638696,0.18699943,-0.7313864000000001,0.50350726,0.32856490000000005,-0.17710155,0.15452594,-0.75211954,-0.751454,0.5651881,0.13955656,-0.32853699999999997,-0.30626518,0.41490754,0.67599845,0.7504603,0.90133625,-0.23359397,-0.21113384,0.15439193,0.7321099,0.26129124,0.8663508,0.531854,-0.22302654,-0.35189652,0.34231418,-0.3548116,0.39369133,-1.0244636999999999,-0.6460402,0.07320725,-1.0389476999999998,0.0193463,-0.36022264,-0.95981747,0.1188526,0.07302239,0.24750698
USUMBA50E,-1.2807726000000001,0.9932814,1.5440040000000002,0.30499829999999994,1.6462043999999998,-0.6225813,1.6381127,0.27327824,-0.35322022,0.16723514,-0.42029363,-0.30807763,0.35683233,0.0232608,-1.2444872999999999,-1.2685176999999999,0.67940795,1.1970174,-0.015731603,-0.12843528,1.685153,-1.6820127,-1.2199461,-0.47869852,1.0735495000000002,-0.27857956,-0.010278253000000001,0.0071033984,0.29651868,-1.457108,-0.019936597,1.4764066,-1.0253417,0.46777713,1.4687456,-0.09859524,1.5925095,-0.9487798000000001,-0.010139388000000001,0.84333885,0.21904764,-0.52961886,1.0235324000000001,-0.47256118,-0.45814678,-0.6859995,-0.21292655,0.8128008000000001,-0.35165322,-1.0991851000000001,0.9264803,-0.5408366,-1.2986591,-0.52364635,-1.3537042,-0.2583826,1.0926225,-0.43904775,-0.43168005,-0.13871524,0.8506154,-0.43107638,-0.04730285,1.364356
USDNRC2MQ,-0.59142905,-0.27076322,0.30270255,1.0470046,-1.2993367,-0.67972887,0.39305064,0.83549434,0.3609453,-1.0826069999999999,-0.041379716000000004,-0.22389942,0.47869470000000003,-0.0030250463,-0.054910507000000004,-0.09441669999999999,0.25781834,1.9842877,-0.70677173,0.6982939,0.30374783,-0.38278735,-0.23681723,0.64663583,-0.002802759,0.55952,0.92994213,0.048088692,-0.9034873,0.83371544,-0.7728316,-0.5516743000000001,-0.43160647,0.32298416,0.47013226,-0.034782354,-0.35178059999999994,1.1444792,1.8282771,0.76868826,-0.037323497000000004,0.046342768,-0.87871253,1.3026833999999998,0.3727935,1.6761574000000001,-0.19591013,0.17861679,0.064265005,-0.43540505,0.66614133,-0.606128,0.35693502,-0.3220542,1.2940351,0.39998004,-0.0042186915,-0.35538673,0.5944316,-0.36393672,0.12169587,0.55147713,0.01499672,-0.8795700000000001
USDNX1VDY,0.6032919,0.33655205,-0.45785233,1.7824467000000002,1.0866133,-0.10839302,0.73873496,0.39485690000000007,0.43032637,-0.491116,0.49406564,0.26084554,-0.28195336,0.8753566999999999,-0.22079339999999997,0.34339002,-0.34578967,0.15237148,-0.77708995,0.39441147,-1.2770776000000001,-0.68438655,-0.5373431,-0.26476946,0.5676749,0.27846658,-0.0642962,-0.39601564,0.035356343,0.5569333000000001,0.09784397,-0.9504614,-0.8472151,0.3621479,-0.38973638,-0.590549,0.20224041,-0.21236266,0.8487444,0.5532016,-0.9428690999999999,1.2696361999999999,-0.6776804,0.36275253,0.5122682,-0.33491084,-0.5078763,-0.38036144,0.33972988,0.11584042,0.08449594,0.55447894,0.7204520000000001,1.2149044,0.49376786,0.04248232,-0.3906515,0.034564935,0.13182275,-0.8328134,0.10303017,0.2912128,0.016043479,0.15684575
USF23P23V,-0.39562359999999996,-0.40751170000000003,0.32158107,0.9328009,0.14078626,-1.6593558000000002,-1.140675,1.1816398000000001,0.9458508,-0.48832998,-0.83080065,-0.9797030000000001,0.5751556,-0.046653703,0.0022242110000000002,-0.053499005999999995,-0.23237275,0.20689885,-0.34936540000000005,-0.20338620000000002,-0.007146927,-0.81861615,0.8885948,-0.6862676999999999,-0.026418148,-0.10015794,-0.30020338,-0.7833667,-0.27606767,-0.7336334,0.13216391,1.0334517,0.4716803,-0.28094995,-0.7530163000000001,0.45365348,-0.9554185,-0.36683014,0.4685322,-0.96794087,0.38535494,0.6247149000000001,0.0379245,1.3786185,-0.31516716,0.9274505999999999,0.6459999999999999,-1.8767383999999998,0.17888395,-0.6062177,-0.10488852,0.1853955,-0.35349363,0.21145019,0.87945056,-0.9810021000000001,0.26082265,0.19469158,-0.043260064,0.3551934,-1.226537,-0.9897775,0.041921765,-0.055046406
